SAINT LUCIA
200510,6,6
200202,7,7
200102,6,6
200806,5,5
200006,9,9
201108,19,19
201106,10,10
201212,3,3
201302,8,8
201203,10,10
200606,17,17
200309,4,4
201105,33,33
200507,5,5
200706,23,23
200907,5,5
200108,10,10
201110,11,11
200204,12,12
201003,10,10
200511,7,7
201009,22,22
200002,5,5
200409,13,13
200312,5,5
200807,6,6
200509,9,9
201101,4,4
201011,15,15
200206,11,11
200104,13,13
200406,4,4
201205,14,14
200407,8,8
200704,4,4
200805,15,15
200605,8,8
200709,17,17
200902,2,2
200611,6,6
200506,5,5
200008,45,45
201303,22,22
201204,6,6
200005,9,9
200808,17,17
200308,12,12
200908,10,10
200004,3,3
200411,9,9
200905,18,18
201103,27,27
200001,4,4
200003,10,10
201210,13,13
200306,13,13
201109,12,12
200501,1,1
200103,20,20
201012,2,2
200707,10,10
200403,12,12
200408,11,11
201306,9,9
200201,6,6
201207,2,2
200811,6,6
200209,16,16
200702,7,7
200307,4,4
201002,7,7
201112,7,7
200106,8,8
200701,1,1
200608,3,3
200803,10,10
200010,19,19
200107,4,4
200304,7,7
201208,6,6
200311,6,6
200710,8,8
200007,22,22
200410,13,13
201001,8,8
200305,5,5
200909,10,10
200205,17,17
201304,4,4
200211,11,11
200402,4,4
200904,11,11
200212,5,5
201006,9,9
200310,8,8
200504,9,9
200012,1,1
200612,4,4
200712,5,5
201206,10,10
200110,10,10
199908,1,1
200401,1,1
201211,8,8
200912,8,8
201004,13,13
200208,16,16
200412,7,7
200404,6,6
200812,3,3
200809,12,12
201201,7,7
200911,15,15
199912,1,1
200503,9,9
200302,5,5
200609,2,2
200405,7,7
200708,25,25
201111,10,10
200111,14,14
201209,10,10
200210,11,11
200203,20,20
201010,6,6
200601,6,6
200207,6,6
200703,6,6
201301,6,6
200602,3,3
200101,2,2
200610,9,9
200508,6,6
200903,21,21
201102,13,13
200901,2,2
200804,14,14
201008,16,16
200910,12,12
200711,6,6
201104,16,16
200301,1,1
200802,8,8
200009,10,10
200801,4,4
200906,12,12
200603,19,19
201305,7,7
200109,5,5
200512,1,1
200607,2,2
200112,4,4
201107,6,6
201202,5,5
200502,6,6
200810,7,7
201007,2,2
200303,8,8
200705,11,11
200604,6,6
200505,17,17
201005,11,11
200011,6,6
200105,17,17
